     x            y           dy
  2.00   4.69457934   0.10397208
  2.04   4.63824276   0.10496221
  2.08   4.73414492   0.10593311
  2.12   4.69658461   0.10688552
  2.16   4.73052423   0.10782013
  2.20   4.80232007   0.10873759
  2.24   4.88668465   0.10963851
  2.28   4.90341122   0.11052349
  2.32   4.98691060   0.11139308
  2.36   4.93346924   0.11224780
  2.40   5.09119701   0.11308815
  2.44   5.00925593   0.11391462
  2.48   5.16087270   0.11472765
  2.52   5.22404259   0.11552766
  2.56   5.18034038   0.11631508
  2.60   5.14800461   0.11709029
  2.64   5.20280736   0.11785366
  2.68   5.20997980   0.11860556
  2.72   5.25606664   0.11934631
  2.76   5.28283761   0.12007625
  2.80   5.25535433   0.12079569
  2.84   5.35823642   0.12150492
  2.88   5.40647630   0.12220423
  2.92   5.36652671   0.12289390
  2.96   5.35798163   0.12357418
  3.00   5.55337029   0.12424533
  3.04   5.44065527   0.12490759
  3.08   5.58013038   0.12556120
  3.12   5.47443926   0.12620637
  3.16   5.64771840   0.12684332
  3.20   5.56326292   0.12747226
  3.24   5.63216433   0.12809338
  3.28   5.64143183   0.12870689
  3.32   5.68862147   0.12931296
  3.36   5.69089642   0.12991177
  3.40   5.71665452   0.13050349
  3.44   5.75312756   0.13108829
  3.48   5.75668647   0.13166633
  3.52   5.74672800   0.13223777
  3.56   5.85752570   0.13280275
  3.60   5.81636577   0.13336141
  3.64   5.82663199   0.13391390
  3.68   5.90549177   0.13446036
  3.72   5.85731162   0.13500090
  3.76   5.92845306   0.13553567
  3.80   5.90248231   0.13606477
  3.84   5.89482902   0.13658834
  3.88   5.98767175   0.13710648
  3.92   5.97812547   0.13761930
  3.96   6.02700254   0.13812692
  4.00   6.12763362   0.13862944
  4.04   6.14189749   0.13912695
  4.08   6.10886739   0.13961957
  4.12   6.10976451   0.14010738
  4.16   6.19140234   0.14059047
  4.20   6.08528366   0.14106894
  4.24   6.13498763   0.14154288
  4.28   6.12723145   0.14201237
  4.32   6.22897111   0.14247749
  4.36   6.12439392   0.14293832
  4.40   6.24796343   0.14339495
  4.44   6.20491308   0.14384744
  4.48   6.21811367   0.14429587
  4.52   6.23887132   0.14474032
  4.56   6.35790140   0.14518085
  4.60   6.29328228   0.14561753
  4.64   6.36209767   0.14605044
  4.68   6.34365367   0.14647962
  4.72   6.30149547   0.14690516
  4.76   6.36780157   0.14732710
  4.80   6.41342083   0.14774551
  4.84   6.49730071   0.14816045
  4.88   6.47388440   0.14857198
  4.92   6.48241363   0.14898014
  4.96   6.48098388   0.14938501
  5.00   6.49167552   0.14978661
  5.04   6.48885458   0.15018502
  5.08   6.53337370   0.15058028
  5.12   6.51297755   0.15097244
  5.16   6.58098516   0.15136155
  5.20   6.53487604   0.15174765
  5.24   6.54486875   0.15213079
  5.28   6.64205053   0.15251102
  5.32   6.58421857   0.15288838
  5.36   6.63127711   0.15326292
  5.40   6.60469450   0.15363467
  5.44   6.74726813   0.15400367
  5.48   6.63682330   0.15436997
  5.52   6.61962624   0.15473361
  5.56   6.67040470   0.15509462
  5.60   6.66574354   0.15545305
  5.64   6.68002272   0.15580892
  5.68   6.78715694   0.15616228
  5.72   6.79404437   0.15651316
  5.76   6.73022627   0.15686159
  5.80   6.81377096   0.15720761
  5.84   6.76163531   0.15755126
  5.88   6.75962894   0.15789256
  5.92   6.86720605   0.15823154
  5.96   6.90192591   0.15856824
  6.00   6.88743149   0.15890269
  6.04   6.81088009   0.15923492
  6.08   6.77420596   0.15956495
  6.12   6.94381602   0.15989282
  6.16   6.92719973   0.16021856
  6.20   6.89981775   0.16054218
  6.24   6.96381130   0.16086373
  6.28   6.90295485   0.16118322
  6.32   6.98145840   0.16150068
  6.36   6.97264842   0.16181614
  6.40   6.99674822   0.16212962
  6.44   7.04249962   0.16244115
  6.48   7.01659875   0.16275074
  6.52   7.08631876   0.16305844
  6.56   7.05422105   0.16336425
  6.60   6.94530015   0.16366820
  6.64   7.04586474   0.16397032
  6.68   7.09237503   0.16427062
  6.72   7.16150646   0.16456913
  6.76   7.06023181   0.16486586
  6.80   7.14847965   0.16516085
  6.84   7.04271458   0.16545410
  6.88   7.11937723   0.16574565
  6.92   7.12933890   0.16603551
  6.96   7.14502368   0.16632369
  7.00   7.15910520   0.16661023
  7.04   7.17667251   0.16689513
  7.08   7.23143318   0.16717841
  7.12   7.09938170   0.16746010
  7.16   7.14347647   0.16774022
  7.20   7.25418166   0.16801877
  7.24   7.20474979   0.16829578
  7.28   7.16651262   0.16857126
  7.32   7.31012144   0.16884523
  7.36   7.22452619   0.16911771
  7.40   7.19682023   0.16938872
  7.44   7.30050479   0.16965826
  7.48   7.21801561   0.16992636
  7.52   7.26086451   0.17019302
  7.56   7.36992284   0.17045828
  7.60   7.30947412   0.17072213
  7.64   7.27967365   0.17098460
  7.68   7.35871707   0.17124570
  7.72   7.35734040   0.17150544
  7.76   7.41833569   0.17176383
  7.80   7.43514482   0.17202090
  7.84   7.33958338   0.17227666
  7.88   7.39071459   0.17253111
  7.92   7.37921619   0.17278428
  7.96   7.48242766   0.17303617
  8.00   7.42389032   0.17328680
